slug,label,street_view_url,status,last_downloaded_at,last_error
olazabal-exautopista,Olazabal y Holmberg,"https://www.google.com/maps/@-34.5706263,-58.4757463,3a,90y,172.4h,92.43t/data=!3m8!1e1!3m6!1s_nnYC8_I-qxBMA3qY6Xy3A!2e0!5s20151001T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-2.434849756316609%26panoid%3D_nnYC8_I-qxBMA3qY6Xy3A%26yaw%3D172.40459482211702!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI2MDQyOS4wIKXMDSoASAFQAw%3D%3D",done,2026-05-13T20:48:03.654Z,
plaza-houssay,Plaza Houssay,"https://www.google.com/maps/@-34.5992763,-58.397252,3a,75y,30.37h,97.79t/data=!3m8!1e1!3m6!1sag6i8W5lzgu3p2n_ht2KGA!2e0!5s20131001T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-7.786025774288902%26panoid%3Dag6i8W5lzgu3p2n_ht2KGA%26yaw%3D30.371723867141753!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",done,2026-05-15T21:03:47.104Z,
aguero,Aguero,"https://www.google.com/maps/place/34%C2%B035'51.8%22S+58%C2%B024'36.8%22W/@-34.5979707,-58.4102913,3a,75y,41.17h,108.69t/data=!3m7!1e1!3m5!1shq041OgJg6drxcSLuedGRg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-18.68841436286624%26panoid%3Dhq041OgJg6drxcSLuedGRg%26yaw%3D41.16589690827358!7i16384!8i8192!4m4!3m3!8m2!3d-34.59772!4d-58.41023?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",done,2026-05-15T21:03:49.298Z,
anchorena,Anchorena y Cordoba,"https://www.google.com/maps/place/34%C2%B035'52.0%22S+58%C2%B024'29.0%22W/@-34.5980874,-58.4081709,3a,89.9y,338.62h,114.8t/data=!3m7!1e1!3m5!1s0ILbxh7upTxXoIT1O-US6Q!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-24.79585963694751%26panoid%3D0ILbxh7upTxXoIT1O-US6Q%26yaw%3D338.6201425092135!7i16384!8i8192!4m4!3m3!8m2!3d-34.5977751!4d-58.4080576?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",done,2026-05-15T21:03:51.950Z,
juncal,Juncal,"https://www.google.com/maps/place/34%C2%B035'26.8%22S+58%C2%B024'10.0%22W/@-34.5907424,-58.4027305,3a,90y,243.16h,113.98t/data=!3m8!1e1!3m6!1sMyc1pW5gfULLiG18DleVCw!2e0!5s20240601T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-23.975316665130777%26panoid%3DMyc1pW5gfULLiG18DleVCw%26yaw%3D243.15669845995535!7i16384!8i8192!4m4!3m3!8m2!3d-34.59079!4d-58.40278?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",done,2026-05-15T21:03:53.678Z,
guardiavieja,Guardia Vieja,"https://www.google.com/maps/place/34%C2%B035'59.5%22S+58%C2%B025'46.7%22W/@-34.5997902,-58.4297648,3a,90y,137.72h,110.3t/data=!3m7!1e1!3m5!1si2Q9xJRh0Do18XcDxLwEpQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-20.302590976060714%26panoid%3Di2Q9xJRh0Do18XcDxLwEpQ%26yaw%3D137.72099580053865!7i16384!8i8192!4m4!3m3!8m2!3d-34.59985!4d-58.42963?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",done,2026-05-15T21:03:55.829Z,
sarmiento,Sarmiento,"https://www.google.com/maps/place/34%C2%B036'16.3%22S+58%C2%B025'25.5%22W/@-34.6045708,-58.4236855,3a,90y,326.31h,110.02t/data=!3m8!1e1!3m6!1saNIS0ftEvdsrkekUg1Ogww!2e0!5s20251001T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-20.02388980500801%26panoid%3DaNIS0ftEvdsrkekUg1Ogww%26yaw%3D326.3083095774211!7i16384!8i8192!4m4!3m3!8m2!3d-34.6045294!4d-58.4237442?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",done,2026-05-15T21:03:57.157Z,
guatemala,Guatemala,"https://www.google.com/maps/place/34%C2%B035'21.3%22S+58%C2%B025'10.6%22W/@-34.5892375,-58.419437,3a,75y,257.52h,110.36t/data=!3m8!1e1!3m6!1s6-qbaNxfa65LP406c8E0zA!2e0!5s20240601T000000!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-20.361201832172526%26panoid%3D6-qbaNxfa65LP406c8E0zA%26yaw%3D257.5193349958762!7i16384!8i8192!4m4!3m3!8m2!3d-34.5892427!4d-58.4195981?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",done,2026-05-15T21:03:58.974Z,
godoycruz,Godoy Cruz,"https://www.google.com/maps/place/34%C2%B034'51.4%22S+58%C2%B025'37.9%22W/@-34.5809662,-58.4272744,3a,90y,98.75h,114.72t/data=!3m7!1e1!3m5!1s76HiRzEGHTwcQd8xMKAAVw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-24.717184503139677%26panoid%3D76HiRzEGHTwcQd8xMKAAVw%26yaw%3D98.74705672397714!7i16384!8i8192!4m4!3m3!8m2!3d-34.5809455!4d-58.4271848?entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",done,2026-05-15T21:04:02.131Z,
corrales-1152-038-074-020,Corrales 1152,"https://www.google.com/maps/@-34.64803793994425,-58.42144396173209,3a,75y,242.27h,90t/data=!3m6!1e1!3m4!1smDWKRUE--EK3ypdoqk5qQg!2e0!7i16384!8i8192",done,2026-06-09T14:23:21.187Z,
